Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,1
RavensRavens,0,0,2
BillsBills,0,1,1
PanthersPanthers,0,1,3
BearsBears,0,0,8
BengalsBengals,0,0,2
BrownsBrowns,0,0,2
CowboysCowboys,0,0,1
BroncosBroncos,0,2,5
LionsLions,0,1,0
PackersPackers,0,0,1
TitansTitans,0,0,4
TexansTexans,0,1,3
ColtsColts,0,0,4
JaguarsJaguars,0,0,0
ChiefsChiefs,0,1,0
RamsRams,0,0,4
RaidersRaiders,0,0,0
DolphinsDolphins,0,0,0
VikingsVikings,0,0,3
PatriotsPatriots,0,0,2
SaintsSaints,0,0,4
GiantsGiants,0,0,1
JetsJets,0,0,2
EaglesEagles,0,0,0
CardinalsCardinals,0,0,2
SteelersSteelers,0,0,1
ChargersChargers,0,1,5
NinersNiners,0,1,2
SeahawksSeahawks,0,0,2
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,0,3
