Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,2
RavensRavens,0,2,5
BillsBills,0,0,3
PanthersPanthers,0,0,0
BearsBears,0,1,1
BengalsBengals,0,0,1
BrownsBrowns,0,0,2
CowboysCowboys,0,1,1
BroncosBroncos,0,0,0
LionsLions,0,0,0
PackersPackers,0,0,6
TitansTitans,0,0,3
TexansTexans,0,0,1
ColtsColts,0,0,2
JaguarsJaguars,0,0,2
ChiefsChiefs,0,0,2
RamsRams,0,0,0
RaidersRaiders,0,2,0
DolphinsDolphins,0,1,2
VikingsVikings,0,2,0
PatriotsPatriots,0,0,0
SaintsSaints,0,1,0
GiantsGiants,0,1,2
JetsJets,0,0,3
EaglesEagles,0,0,2
CardinalsCardinals,0,0,2
SteelersSteelers,0,1,2
ChargersChargers,0,0,2
NinersNiners,0,0,1
SeahawksSeahawks,0,0,2
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,0,0
