Team,FR TD,SFTY,INT TD
ChargersChargers,3,0,0
JaguarsJaguars,2,0,1
PatriotsPatriots,2,0,0
EaglesEagles,2,0,2
FalconsFalcons,1,0,1
BillsBills,1,0,0
BrownsBrowns,1,1,2
CowboysCowboys,1,0,2
BroncosBroncos,1,1,2
LionsLions,1,1,1
PackersPackers,1,0,3
TitansTitans,1,0,1
TexansTexans,1,1,4
ColtsColts,1,0,1
RaidersRaiders,1,0,0
DolphinsDolphins,1,1,2
VikingsVikings,1,0,2
GiantsGiants,1,0,0
CardinalsCardinals,1,0,3
SteelersSteelers,1,0,4
NinersNiners,1,0,2
RavensRavens,0,1,1
PanthersPanthers,0,0,2
BearsBears,0,0,1
BengalsBengals,0,2,1
ChiefsChiefs,0,0,1
RamsRams,0,0,3
SaintsSaints,0,2,0
JetsJets,0,1,0
SeahawksSeahawks,0,1,2
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,0,0
