Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
PatriotsPatriots,374,4091,10.9,27,45,3,84,206,55.1,6
49ers49ers,358,3859,10.8,24,40,6,52,188,52.5,4
FalconsFalcons,356,3909,11.0,26,44,10,67T,202,56.7,3
JaguarsJaguars,353,4367,12.4,19,40,13,62,208,58.9,3
JetsJets,339,3911,11.5,22,42,10,78T,191,56.3,4
CardinalsCardinals,336,3917,11.7,23,50,5,69,214,63.7,4
RavensRavens,335,4274,12.8,34,59,10,86,208,62.1,0
VikingsVikings,331,3899,11.8,24,46,9,82,186,56.2,3
PackersPackers,328,3938,12.0,39,50,11,80,197,60.1,7
EaglesEagles,328,3979,12.1,19,49,5,58,196,59.8,2
BroncosBroncos,327,3662,11.2,26,46,6,51,180,55.0,1
BearsBears,318,3350,10.5,19,35,4,58,176,55.4,7
BengalsBengals,316,3726,11.8,25,36,11,61,190,60.1,0
ChargersChargers,314,3654,11.6,23,43,11,63T,168,53.5,5
ColtsColts,311,3544,11.4,16,42,6,51,172,55.3,4
RaidersRaiders,311,3327,10.7,28,36,6,62,172,55.3,3
LionsLions,309,3463,11.2,20,38,3,62,180,58.2,1
CowboysCowboys,307,3249,10.6,12,33,5,61T,163,53.1,9
DolphinsDolphins,300,3783,12.6,22,54,11,74,173,57.7,8
SaintsSaints,295,3069,10.4,13,35,7,57,135,45.8,5
ChiefsChiefs,290,3093,10.7,18,37,4,69,168,57.9,4
BillsBills,279,3558,12.8,18,48,10,95,149,53.4,3
BuccaneersBuccaneers,274,2944,10.7,12,33,3,45,152,55.5,4
PanthersPanthers,273,3333,12.2,22,41,5,55,160,58.6,1
OilersOilers,272,3296,12.1,22,36,8,83,157,57.7,3
RedskinsRedskins,270,3453,12.8,12,50,6,52,174,64.4,2
SeahawksSeahawks,261,3216,12.3,14,39,11,80,147,56.3,5
RamsRams,249,3144,12.6,18,38,9,77,141,56.6,3
SteelersSteelers,246,2990,12.2,15,36,7,70T,146,59.4,3
GiantsGiants,238,2663,11.2,14,24,0,37,145,60.9,3
