Team,Rsh TD,Rec TD,Tot TD,2-PT
PatriotsPatriots,25,34,64,0
RedskinsRedskins,22,24,51,1
PanthersPanthers,21,19,44,0
TexansTexans,19,22,46,0
GiantsGiants,18,26,46,1
RavensRavens,17,22,44,0
LionsLions,17,22,39,0
NinersNiners,17,23,43,0
VikingsVikings,16,18,39,1
SeahawksSeahawks,16,27,48,0
DolphinsDolphins,15,13,31,0
BuccaneersBuccaneers,13,27,44,0
FalconsFalcons,12,32,45,0
BillsBills,12,24,40,0
BrownsBrowns,12,16,31,0
BroncosBroncos,12,37,56,0
JetsJets,12,14,30,0
BearsBears,11,21,41,1
BengalsBengals,11,28,42,0
ColtsColts,11,23,40,1
TitansTitans,10,17,35,0
SaintsSaints,10,43,58,1
EaglesEagles,10,18,29,0
CardinalsCardinals,10,11,24,0
PackersPackers,9,40,52,0
ChiefsChiefs,9,8,17,0
CowboysCowboys,8,29,39,1
SteelersSteelers,8,27,36,0
JaguarsJaguars,5,20,26,1
RamsRams,5,22,31,1
RaidersRaiders,4,24,28,0
ChargersChargers,4,26,37,0
