Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
RavensRavens,382,1740,4.6,12,96,25.1
TitansTitans,427,1933,4.5,18,113,26.5
PatriotsPatriots,464,2103,4.5,17,131,28.2
BrownsBrowns,412,1773,4.3,16,116,28.2
SaintsSaints,390,1502,3.8,11,85,21.8
CardinalsCardinals,436,2008,4.6,13,118,27.1
RamsRams,388,1460,3.8,12,91,23.4
VikingsVikings,472,2151,4.6,19,136,28.8
ChargersChargers,427,1917,4.5,17,112,26.2
ColtsColts,390,1448,3.7,16,94,24.1
RaidersRaiders,438,2013,4.6,24,114,26.0
PackersPackers,397,1805,4.6,16,119,30.0
BroncosBroncos,434,2080,4.8,22,106,24.4
49ers49ers,430,1703,4.0,12,102,23.7
CowboysCowboys,510,2541,5.0,20,142,27.8
DolphinsDolphins,412,1862,4.5,17,113,27.4
BillsBills,414,1914,4.6,21,125,30.2
BengalsBengals,463,2368,5.1,13,126,27.2
SeahawksSeahawks,392,1529,3.9,18,97,24.7
FalconsFalcons,380,1677,4.4,15,97,25.5
PanthersPanthers,408,1936,4.8,17,114,27.9
JetsJets,445,1792,4.0,16,100,22.5
ChiefsChiefs,433,1954,4.5,14,113,26.1
EaglesEagles,481,2012,4.2,20,98,20.4
Football TeamFootball Team,428,1805,4.2,14,100,23.4
GiantsGiants,432,1782,4.1,14,115,26.6
BearsBears,438,1814,4.1,11,104,23.7
SteelersSteelers,414,1783,4.3,13,94,22.7
BuccaneersBuccaneers,358,1289,3.6,10,78,21.8
LionsLions,487,2158,4.4,27,127,26.1
TexansTexans,493,2564,5.2,24,145,29.4
JaguarsJaguars,517,2452,4.7,23,140,27.1
