Team,FF,FR,FR TD
EaglesEagles,28,0,0
BearsBears,24,0,0
SeahawksSeahawks,24,0,0
JetsJets,21,0,0
BrownsBrowns,20,0,0
PackersPackers,20,0,0
SaintsSaints,20,0,0
49ers49ers,20,0,0
RavensRavens,19,0,0
DolphinsDolphins,19,0,0
SteelersSteelers,19,0,0
RedskinsRedskins,19,0,0
BillsBills,17,0,0
CowboysCowboys,17,0,0
JaguarsJaguars,17,0,0
ChiefsChiefs,17,0,0
RamsRams,16,0,0
ChargersChargers,16,0,0
PanthersPanthers,15,0,0
BroncosBroncos,15,0,0
VikingsVikings,15,0,0
GiantsGiants,15,0,0
BuccaneersBuccaneers,15,0,0
FalconsFalcons,14,0,0
BengalsBengals,14,0,0
TitansTitans,14,0,0
PatriotsPatriots,12,0,0
ColtsColts,11,0,0
RaidersRaiders,11,0,0
CardinalsCardinals,11,0,0
LionsLions,6,0,0
