Team,FR TD,SFTY,INT TD
FalconsFalcons,0,1,1
RavensRavens,0,1,1
BillsBills,0,0,1
PanthersPanthers,0,0,2
BearsBears,0,0,4
BengalsBengals,0,1,1
BrownsBrowns,0,0,1
CowboysCowboys,0,1,0
BroncosBroncos,0,1,5
LionsLions,0,0,2
PackersPackers,0,1,1
TitansTitans,0,0,4
ColtsColts,0,2,2
JaguarsJaguars,0,0,0
ChiefsChiefs,0,0,2
RamsRams,0,0,0
RaidersRaiders,0,2,4
DolphinsDolphins,0,1,0
VikingsVikings,0,0,0
PatriotsPatriots,0,0,0
SaintsSaints,0,0,4
GiantsGiants,0,0,0
JetsJets,0,0,1
EaglesEagles,0,0,2
CardinalsCardinals,0,0,0
SteelersSteelers,0,1,0
ChargersChargers,0,1,4
49ers49ers,0,0,2
SeahawksSeahawks,0,1,3
BuccaneersBuccaneers,0,1,4
RedskinsRedskins,0,1,0
