Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
SeahawksSeahawks,368,1649,4.5,8,80,21.7
PatriotsPatriots,415,1630,3.9,10,100,24.1
RedskinsRedskins,363,1532,4.2,11,89,24.5
TexansTexans,390,1560,4.0,5,94,24.1
ChiefsChiefs,482,2171,4.5,11,106,22.0
JetsJets,495,2138,4.3,17,96,19.4
NinersNiners,407,1507,3.7,7,72,17.7
VikingsVikings,427,1692,4.0,10,82,19.2
BroncosBroncos,404,1458,3.6,5,73,18.1
BearsBears,388,1627,4.2,6,75,19.3
PanthersPanthers,416,1761,4.2,11,98,23.6
RavensRavens,492,1965,4.0,15,105,21.3
BillsBills,470,2333,5.0,23,136,28.9
ColtsColts,428,2200,5.1,14,102,23.8
DolphinsDolphins,431,1734,4.0,10,79,18.3
PackersPackers,418,1896,4.5,12,83,19.9
BengalsBengals,423,1715,4.0,13,99,23.4
BuccaneersBuccaneers,377,1320,3.5,13,75,19.9
EaglesEagles,479,2021,4.2,11,108,22.6
SteelersSteelers,391,1450,3.7,9,78,20.0
ChargersChargers,406,1542,3.8,10,85,20.9
RamsRams,442,1880,4.2,18,107,24.2
GiantsGiants,449,2066,4.6,9,104,23.2
BrownsBrowns,457,1898,4.2,14,104,22.8
LionsLions,420,1889,4.5,13,107,25.5
FalconsFalcons,411,1971,4.8,16,99,24.1
TitansTitans,483,2035,4.2,16,122,25.3
RaidersRaiders,444,1897,4.3,18,95,21.4
SaintsSaints,457,2361,5.2,18,116,25.4
JaguarsJaguars,545,2256,4.1,19,133,24.4
CowboysCowboys,441,2003,4.5,17,92,20.9
CardinalsCardinals,506,2192,4.3,12,107,21.2
