Team,FF,FR,FR TD
BrownsBrowns,25,18,1
EaglesEagles,25,22,3
SaintsSaints,21,20,0
JetsJets,20,19,0
BuccaneersBuccaneers,20,16,0
OilersOilers,19,19,3
CardinalsCardinals,19,21,2
SeahawksSeahawks,18,21,0
LionsLions,17,17,1
ChiefsChiefs,17,18,2
49ers49ers,17,16,1
BillsBills,16,14,1
BroncosBroncos,15,10,1
FalconsFalcons,14,16,4
DolphinsDolphins,14,9,1
PatriotsPatriots,14,20,0
SteelersSteelers,14,11,1
ChargersChargers,14,9,0
BengalsBengals,13,14,0
CowboysCowboys,13,11,1
GiantsGiants,13,9,0
PackersPackers,12,14,1
ColtsColts,12,13,0
RamsRams,12,8,1
RaidersRaiders,12,13,1
VikingsVikings,12,11,0
RedskinsRedskins,10,13,0
BearsBears,9,13,0
