Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
EaglesEagles,205,70,18,11,76,21.5,967
PatriotsPatriots,195,47,22,8,72,19.7,948
BengalsBengals,209,89,10,5,124,24.6,1034
LionsLions,214,94,15,7,94,20.7,1094
JaguarsJaguars,190,79,11,5,114,26.2,999
BuccaneersBuccaneers,218,75,27,13,70,19.3,1073
BearsBears,209,76,23,13,86,20.8,1017
BillsBills,212,76,21,8,93,24.0,985
GiantsGiants,216,86,14,8,100,21.3,1061
JetsJets,225,88,12,3,75,18.0,1037
RamsRams,218,86,24,14,100,22.5,1056
FalconsFalcons,193,77,20,12,108,25.6,985
PanthersPanthers,193,77,9,6,128,28.8,1042
ColtsColts,199,85,19,8,93,24.3,986
DolphinsDolphins,194,81,13,8,113,23.3,1053
CowboysCowboys,201,67,22,10,101,24.8,1015
PackersPackers,197,75,18,8,99,24.1,998
BroncosBroncos,211,79,19,9,96,22.5,1003
RaidersRaiders,190,81,13,9,91,22.5,963
49ers49ers,192,64,25,8,105,26.2,968
SeahawksSeahawks,185,71,12,7,97,25.0,1014
CardinalsCardinals,214,100,14,3,94,21.4,1080
BrownsBrowns,195,74,17,6,124,26.8,1014
SteelersSteelers,209,76,21,10,110,23.8,1030
VikingsVikings,214,85,29,16,78,19.3,1053
ChargersChargers,195,88,13,8,101,23.5,923
TexansTexans,202,98,16,7,98,24.3,1020
SaintsSaints,210,73,25,11,71,20.6,999
RavensRavens,194,72,18,6,74,21.8,921
ChiefsChiefs,202,75,31,16,115,27.6,1043
TitansTitans,204,74,25,10,95,22.9,1056
RedskinsRedskins,227,111,19,12,120,24.3,1079
