Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
EaglesEagles,229,104,24,8,215,55.0,104,22.9,1104
PatriotsPatriots,227,87,15,6,197,52.1,110,24.6,1095
BengalsBengals,222,80,26,13,191,53.6,85,22.1,1049
LionsLions,220,90,13,5,196,57.0,82,20.2,1021
JaguarsJaguars,220,76,25,12,183,50.3,85,21.8,1020
BuccaneersBuccaneers,217,90,17,9,244,63.9,81,19.8,1086
BearsBears,216,77,21,7,178,48.0,85,21.5,1020
BillsBills,212,76,18,8,162,54.2,120,25.8,1018
GiantsGiants,212,79,31,14,187,49.7,89,24.6,1012
JetsJets,212,65,19,7,162,50.2,61,15.9,956
RamsRams,208,83,13,3,222,55.9,92,22.9,1055
FalconsFalcons,207,87,21,13,258,56.2,84,23.2,1096
PanthersPanthers,207,66,24,12,230,60.2,82,21.2,1077
ColtsColts,207,86,24,14,165,53.8,131,27.8,1016
DolphinsDolphins,207,71,28,13,210,56.6,64,18.3,1022
CowboysCowboys,204,96,16,7,229,59.0,120,26.7,1069
PackersPackers,203,73,14,7,190,53.4,90,21.9,1020
BroncosBroncos,202,64,16,11,162,51.9,77,18.8,954
RaidersRaiders,201,88,19,11,194,52.9,104,23.8,989
49ers49ers,200,90,12,7,195,58.9,110,22.1,1012
SeahawksSeahawks,200,79,14,7,190,55.7,121,25.2,1046
CardinalsCardinals,197,71,20,13,176,49.6,109,27.5,1000
BrownsBrowns,196,71,17,7,180,56.6,90,22.9,973
SteelersSteelers,195,67,15,2,147,46.7,75,19.0,937
VikingsVikings,194,83,15,8,171,53.6,106,22.3,970
ChargersChargers,194,86,18,10,220,55.8,90,24.6,997
TexansTexans,193,84,25,13,203,57.2,112,25.8,1017
SaintsSaints,192,81,13,5,230,55.0,97,24.0,1011
RavensRavens,187,88,24,17,171,59.2,188,31.5,1064
ChiefsChiefs,187,89,10,6,211,55.8,93,24.8,976
TitansTitans,185,70,14,4,177,59.6,104,23.4,949
RedskinsRedskins,179,52,14,6,154,51.7,74,20.8,885
