Team,Rsh TD,Rec TD,Tot TD,2-PT
ChiefsChiefs,31,27,61,0
ChargersChargers,24,29,55,0
FalconsFalcons,20,15,40,0
GiantsGiants,18,12,32,0
SeahawksSeahawks,17,23,43,0
TexansTexans,16,16,34,1
SteelersSteelers,16,20,39,0
BillsBills,15,21,46,0
PatriotsPatriots,15,29,46,1
SaintsSaints,15,21,39,0
JetsJets,15,19,37,0
CardinalsCardinals,15,14,30,1
BengalsBengals,14,23,41,0
CowboysCowboys,14,19,33,0
BroncosBroncos,13,27,42,0
TitansTitans,12,27,40,1
RavensRavens,11,13,32,0
RamsRams,11,23,34,3
PanthersPanthers,10,29,41,0
BearsBears,10,9,25,1
ColtsColts,10,51,65,1
RaidersRaiders,10,24,35,0
DolphinsDolphins,10,19,30,0
EaglesEagles,10,32,44,0
49ers49ers,10,16,27,1
PackersPackers,9,36,47,0
JaguarsJaguars,9,17,26,0
BuccaneersBuccaneers,9,24,35,0
VikingsVikings,8,39,49,1
LionsLions,7,19,32,0
BrownsBrowns,6,21,29,0
RedskinsRedskins,6,18,26,0
