Team,Rsh TD,Rec TD,Tot TD,2-PT
VikingsVikings,23,18,44,0
PatriotsPatriots,19,25,46,2
EaglesEagles,19,32,52,3
NinersNiners,18,21,41,0
PackersPackers,17,25,44,0
ChiefsChiefs,17,24,50,0
BroncosBroncos,16,55,75,0
TitansTitans,16,22,39,0
RaidersRaiders,16,17,35,0
BillsBills,15,16,33,2
LionsLions,15,29,47,2
ColtsColts,15,23,40,4
PanthersPanthers,14,24,42,0
BengalsBengals,14,33,53,0
SeahawksSeahawks,14,27,44,0
RedskinsRedskins,14,20,38,2
BearsBears,13,32,51,5
CowboysCowboys,12,33,48,1
JetsJets,12,13,27,0
CardinalsCardinals,12,24,40,1
FalconsFalcons,11,26,39,1
GiantsGiants,11,18,32,1
RamsRams,10,22,35,3
SaintsSaints,10,39,49,0
SteelersSteelers,9,28,41,1
ChargersChargers,9,32,42,0
DolphinsDolphins,8,24,34,0
RavensRavens,7,19,29,3
TexansTexans,7,19,28,1
JaguarsJaguars,7,16,24,0
BuccaneersBuccaneers,6,22,31,0
BrownsBrowns,4,26,34,1
