Team,INT,INT TD,INT Yds,Lng
GiantsGiants,27,4,503,95
RamsRams,25,1,281,75T
49ers49ers,25,1,366,55T
PackersPackers,21,3,329,77
ChiefsChiefs,21,4,432,87
SteelersSteelers,20,0,253,42
PatriotsPatriots,19,4,366,100
FalconsFalcons,18,0,114,31
BroncosBroncos,18,5,319,62
JetsJets,18,4,379,51
RavensRavens,17,1,241,43T
LionsLions,17,3,309,66
SaintsSaints,16,0,194,39
RedskinsRedskins,16,3,222,83
BillsBills,15,0,157,28
CardinalsCardinals,15,3,231,66
ChargersChargers,15,3,257,75
OilersOilers,14,2,328,48
JaguarsJaguars,14,0,145,32
EaglesEagles,14,1,186,64T
BearsBears,13,0,60,14
BengalsBengals,13,0,183,37
SeahawksSeahawks,13,1,196,44T
BuccaneersBuccaneers,13,0,95,28
ColtsColts,12,2,234,50
VikingsVikings,12,0,141,27
PanthersPanthers,11,0,72,18
RaidersRaiders,10,1,149,44T
DolphinsDolphins,10,0,92,23
CowboysCowboys,7,1,130,50T
