Team,FF,FR,FR TD
CardinalsCardinals,21,13,1
RaidersRaiders,20,14,0
PanthersPanthers,18,10,2
CowboysCowboys,18,11,0
FalconsFalcons,17,10,2
RedskinsRedskins,17,7,0
BroncosBroncos,16,13,1
ChiefsChiefs,16,15,1
DolphinsDolphins,16,9,0
PatriotsPatriots,16,9,0
SteelersSteelers,16,10,1
SeahawksSeahawks,16,8,1
BuccaneersBuccaneers,16,12,0
ColtsColts,15,9,1
GiantsGiants,15,8,2
EaglesEagles,15,10,0
49ers49ers,15,10,0
RavensRavens,14,10,1
JetsJets,14,4,0
ChargersChargers,14,10,2
VikingsVikings,13,13,2
RamsRams,12,8,1
BillsBills,11,6,2
BearsBears,11,3,1
SaintsSaints,11,12,0
JaguarsJaguars,10,6,0
PackersPackers,9,8,0
LionsLions,8,4,0
TexansTexans,7,6,0
BengalsBengals,6,3,0
BrownsBrowns,6,3,0
TitansTitans,4,6,1
