Team,FF,FR,FR TD
GiantsGiants,34,0,0
SaintsSaints,25,0,0
SteelersSteelers,24,0,0
BearsBears,23,0,0
RamsRams,23,0,0
LionsLions,21,0,0
RedskinsRedskins,19,0,0
ChiefsChiefs,18,0,0
TitansTitans,17,0,0
JetsJets,17,0,0
SeahawksSeahawks,16,0,0
RavensRavens,15,0,0
BillsBills,15,0,0
PackersPackers,15,0,0
RaidersRaiders,15,0,0
FalconsFalcons,14,9,1
PanthersPanthers,14,0,0
CowboysCowboys,14,10,1
BroncosBroncos,13,0,0
DolphinsDolphins,13,0,0
CardinalsCardinals,13,0,0
NinersNiners,13,0,0
BengalsBengals,12,10,1
ColtsColts,12,0,0
VikingsVikings,12,0,0
BuccaneersBuccaneers,12,0,0
TexansTexans,11,0,0
PatriotsPatriots,11,0,0
EaglesEagles,11,0,0
ChargersChargers,11,0,0
BrownsBrowns,9,0,0
JaguarsJaguars,8,0,0
