Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BillsBills,427,1395,3.3,8,77,18.0
SteelersSteelers,435,1841,4.2,6,99,22.8
EaglesEagles,387,1481,3.8,4,73,18.9
CowboysCowboys,345,1244,3.6,11,68,19.7
VikingsVikings,438,1733,4.0,11,113,25.8
ChargersChargers,365,1395,3.8,10,80,21.9
RedskinsRedskins,406,1696,4.2,11,89,21.9
49ers49ers,351,1418,4.0,5,90,25.6
GiantsGiants,458,2012,4.4,17,115,25.1
BengalsBengals,490,2007,4.1,15,126,25.7
SaintsSaints,381,1605,4.2,8,86,22.6
BrownsBrowns,429,1605,3.7,5,86,20.0
ChiefsChiefs,441,1787,4.0,12,97,22.0
BuccaneersBuccaneers,441,1675,3.8,15,100,22.7
RaidersRaiders,478,1683,3.5,17,104,21.8
BearsBears,468,1948,4.2,14,109,23.3
JetsJets,460,1919,4.2,13,110,23.9
PackersPackers,406,1821,4.5,12,89,21.9
PatriotsPatriots,521,1951,3.7,15,112,21.5
DolphinsDolphins,428,1600,3.7,9,92,21.5
BroncosBroncos,489,1963,4.0,10,105,21.5
SeahawksSeahawks,513,1922,3.8,14,96,18.7
CardinalsCardinals,436,1635,3.8,13,101,23.2
RamsRams,467,2230,4.8,22,130,27.8
ColtsColts,495,2174,4.4,16,129,26.1
LionsLions,460,1841,4.0,14,119,25.9
OilersOilers,412,1634,4.0,6,93,22.6
FalconsFalcons,464,2294,4.9,20,109,23.5
