Team,Rsh TD,Rec TD,Tot TD,2-PT
BearsBears,22,14,38,0
BillsBills,20,28,52,0
RaidersRaiders,20,19,40,0
BroncosBroncos,19,15,35,0
LionsLions,19,24,44,0
SeahawksSeahawks,18,15,33,0
RamsRams,17,24,43,0
GiantsGiants,17,18,38,0
BengalsBengals,16,25,43,0
JetsJets,16,14,31,0
RedskinsRedskins,16,22,40,0
SaintsSaints,14,15,30,0
ChargersChargers,14,18,34,0
CowboysCowboys,13,12,27,0
DolphinsDolphins,13,21,37,0
CardinalsCardinals,13,16,31,0
49ers49ers,12,28,40,0
FalconsFalcons,11,21,38,0
ChiefsChiefs,11,23,37,0
SteelersSteelers,11,20,33,0
BrownsBrowns,10,13,26,0
OilersOilers,10,37,48,0
VikingsVikings,10,25,37,0
EaglesEagles,10,34,47,0
ColtsColts,9,22,32,0
BuccaneersBuccaneers,7,18,28,0
PackersPackers,5,20,28,0
PatriotsPatriots,4,14,18,0
