Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
49ers49ers,211,99,11,8,96,24.4,978
EaglesEagles,213,66,23,9,83,21.3,1009
CardinalsCardinals,212,90,15,7,117,23.9,1046
TexansTexans,234,83,12,6,116,22.8,1056
ColtsColts,198,74,21,10,114,24.8,963
PackersPackers,192,65,16,6,122,29.5,987
PanthersPanthers,234,77,13,5,95,21.2,1022
SaintsSaints,223,87,20,12,108,24.6,1071
BengalsBengals,199,83,14,7,104,20.9,976
SteelersSteelers,225,98,13,7,77,21.4,982
BrownsBrowns,226,91,14,7,107,22.2,1024
BuccaneersBuccaneers,223,75,13,8,79,19.3,963
RedskinsRedskins,225,79,11,4,96,22.1,1006
PatriotsPatriots,221,95,16,10,129,27.6,1032
LionsLions,233,105,11,8,111,22.4,1119
TitansTitans,202,76,18,9,75,20.2,974
SeahawksSeahawks,215,100,13,6,140,28.0,1083
FalconsFalcons,214,85,21,9,97,22.0,1002
RavensRavens,236,95,21,15,95,20.2,1077
GiantsGiants,222,81,21,8,87,21.4,985
BillsBills,207,76,23,10,107,22.6,999
BearsBears,230,85,15,9,110,21.8,1086
ChargersChargers,218,83,11,7,91,22.2,1056
VikingsVikings,193,75,15,5,83,21.1,963
CowboysCowboys,246,92,11,9,90,18.7,1079
JaguarsJaguars,212,83,20,11,112,23.0,1042
RamsRams,197,71,13,5,105,23.6,944
RaidersRaiders,196,75,20,9,96,25.0,997
BroncosBroncos,220,97,6,3,100,26.4,985
DolphinsDolphins,201,68,13,4,86,21.1,974
JetsJets,211,93,16,9,116,27.2,1008
ChiefsChiefs,205,87,17,10,120,27.8,1081
