Team,FR TD,SFTY,INT TD
EaglesEagles,3,0,2
ChiefsChiefs,2,0,2
DolphinsDolphins,2,0,3
BearsBears,1,1,1
BengalsBengals,1,0,1
BrownsBrowns,1,0,1
CowboysCowboys,1,0,5
TitansTitans,1,0,2
ColtsColts,1,1,0
CardinalsCardinals,1,0,1
ChargersChargers,1,0,0
FalconsFalcons,0,1,2
RavensRavens,0,0,1
BillsBills,0,0,1
PanthersPanthers,0,1,0
BroncosBroncos,0,0,1
LionsLions,0,0,0
PackersPackers,0,0,2
TexansTexans,0,1,1
JaguarsJaguars,0,0,0
RamsRams,0,0,0
RaidersRaiders,0,1,0
VikingsVikings,0,0,2
PatriotsPatriots,0,0,3
SaintsSaints,0,0,2
GiantsGiants,0,1,1
JetsJets,0,0,1
SteelersSteelers,0,0,0
49ers49ers,0,0,2
SeahawksSeahawks,0,1,0
BuccaneersBuccaneers,0,0,2
Football TeamFootball Team,0,0,2
