Team,Rsh TD,Rec TD,Tot TD,2-PT
RedskinsRedskins,23,26,53,1
JaguarsJaguars,20,16,41,1
TitansTitans,19,23,44,0
RaidersRaiders,18,24,44,0
CowboysCowboys,16,20,41,0
ColtsColts,15,26,45,0
ChiefsChiefs,14,22,43,0
SteelersSteelers,14,19,33,0
49ers49ers,14,14,30,0
BroncosBroncos,13,16,31,1
PackersPackers,13,23,38,0
RamsRams,13,42,65,1
VikingsVikings,13,32,49,0
CardinalsCardinals,13,11,27,0
BillsBills,12,21,34,1
PanthersPanthers,12,36,50,0
BengalsBengals,11,18,33,0
GiantsGiants,11,17,31,2
ChargersChargers,10,12,23,0
FalconsFalcons,9,22,34,0
RavensRavens,9,21,34,1
BrownsBrowns,9,19,28,1
PatriotsPatriots,9,19,30,0
SaintsSaints,9,16,25,0
LionsLions,8,22,32,0
DolphinsDolphins,8,20,29,0
JetsJets,7,22,32,0
BuccaneersBuccaneers,7,18,27,0
EaglesEagles,5,18,29,1
SeahawksSeahawks,5,25,34,0
BearsBears,4,25,30,1
