Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
PatriotsPatriots,389,4619,11.9,32,63,10,64,231,59.4,2
SaintsSaints,386,4334,11.2,23,72,11,54T,201,52.1,5
SteelersSteelers,384,4534,11.8,29,56,16,97,217,56.5,4
BuccaneersBuccaneers,378,4607,12.2,26,47,6,70,243,64.3,6
LionsLions,374,4470,12.0,29,61,16,71,210,56.2,2
DolphinsDolphins,373,3792,10.2,24,41,5,65,187,50.1,10
GiantsGiants,373,3680,9.9,20,33,6,77,178,47.7,1
ChargersChargers,366,4551,12.4,28,61,12,75,220,60.1,3
RavensRavens,363,3235,8.9,20,29,5,66,168,46.3,4
ChiefsChiefs,363,4326,11.9,26,54,14,79,198,54.6,2
49ers49ers,362,4235,11.7,15,49,14,83,206,56.9,2
VikingsVikings,357,3929,11.0,25,53,9,65,196,54.9,4
PackersPackers,352,3532,10.0,25,38,8,72,176,50.0,2
RaidersRaiders,347,3761,10.8,23,47,10,87,178,51.3,9
RedskinsRedskins,347,4093,11.8,27,59,9,74,191,55.0,4
FalconsFalcons,343,4146,12.1,21,55,9,88,200,58.3,1
EaglesEagles,341,3967,11.6,38,43,9,72,193,56.6,2
SeahawksSeahawks,340,3979,11.7,34,58,12,74,183,53.8,1
CardinalsCardinals,339,3979,11.7,21,55,5,52,200,59.0,3
BroncosBroncos,332,3668,11.0,19,55,3,54,180,54.2,3
JetsJets,323,3501,10.8,19,46,8,69,157,48.6,5
RamsRams,320,4023,12.6,28,57,13,94,185,57.8,5
JaguarsJaguars,316,3716,11.8,21,42,7,75T,193,61.1,4
BrownsBrowns,312,3537,11.3,15,53,5,56,157,50.3,4
CowboysCowboys,309,3326,10.8,22,34,8,81,162,52.4,2
TitansTitans,306,3394,11.1,14,39,6,75,157,51.3,3
BengalsBengals,304,3386,11.1,25,34,9,77,165,54.3,6
TexansTexans,299,3644,12.2,28,53,6,72,180,60.2,2
PanthersPanthers,293,3319,11.3,22,46,5,64,166,56.7,1
BearsBears,291,3085,10.6,13,30,4,70,144,49.5,1
BillsBills,289,3086,10.7,16,40,4,47T,149,51.6,3
ColtsColts,285,3226,11.3,13,36,9,80,148,51.9,4
