Team,FF,FR,FR TD
49ers49ers,22,11,0
CardinalsCardinals,21,14,1
ChargersChargers,19,10,1
ColtsColts,18,14,1
ChiefsChiefs,18,13,2
SteelersSteelers,18,8,0
BengalsBengals,17,8,1
TexansTexans,16,7,0
BuccaneersBuccaneers,16,12,0
RamsRams,15,6,0
FalconsFalcons,14,8,0
PanthersPanthers,14,7,0
BearsBears,14,8,1
DolphinsDolphins,14,12,2
CowboysCowboys,13,8,1
TitansTitans,13,6,1
RaidersRaiders,13,9,0
VikingsVikings,13,8,0
SaintsSaints,13,7,0
JetsJets,13,7,0
EaglesEagles,13,4,3
BillsBills,12,11,0
BrownsBrowns,12,6,1
GiantsGiants,12,7,0
PatriotsPatriots,11,6,0
LionsLions,10,8,0
PackersPackers,10,8,0
JaguarsJaguars,9,2,0
SeahawksSeahawks,9,7,0
Football TeamFootball Team,9,7,0
RavensRavens,8,6,0
BroncosBroncos,6,6,0
