Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
TitansTitans,547,2084,3.8,14,9,0,35T,107,19.6,12
SteelersSteelers,527,2248,4.3,19,16,1,45,124,23.5,9
RaidersRaiders,520,2470,4.8,23,20,4,80,128,24.6,8
BroncosBroncos,516,2311,4.5,21,17,3,80,124,24.0,9
RavensRavens,511,2199,4.3,9,11,1,45,116,22.7,8
GiantsGiants,507,2009,4.0,16,13,3,78,100,19.7,8
SaintsSaints,505,2068,4.1,14,7,2,40T,117,23.2,13
DolphinsDolphins,496,1894,3.8,16,10,2,68T,104,21.0,8
BengalsBengals,495,2314,4.7,13,19,6,80,119,24.0,12
BuccaneersBuccaneers,490,2066,4.2,18,12,2,70,111,22.6,6
JaguarsJaguars,481,2032,4.2,18,13,2,71T,109,22.7,11
BillsBills,475,1922,4.0,11,10,1,59,111,23.4,9
CowboysCowboys,463,1953,4.2,15,12,1,52,116,25.0,12
LionsLions,448,1747,3.9,15,7,0,34T,101,22.5,8
RedskinsRedskins,445,1748,3.9,14,8,1,50,98,22.0,6
ColtsColts,435,1859,4.3,14,9,0,30T,111,25.5,7
VikingsVikings,428,2129,5.0,14,16,4,72,107,25.0,10
PatriotsPatriots,424,1390,3.3,9,4,0,35,80,18.9,12
JetsJets,418,1471,3.5,11,8,1,55T,84,20.1,7
BearsBears,417,1736,4.2,6,10,1,52,89,21.3,12
49ers49ers,416,1801,4.3,15,10,1,42T,98,23.6,8
PackersPackers,404,1643,4.1,13,12,0,39T,88,21.8,8
SeahawksSeahawks,403,1720,4.3,10,8,3,55T,98,24.3,18
EaglesEagles,397,1882,4.7,13,11,3,85T,88,22.2,9
ChiefsChiefs,383,1465,3.8,12,8,1,69T,84,21.9,7
RamsRams,383,1843,4.8,26,8,1,49,112,29.2,3
PanthersPanthers,363,1186,3.3,7,6,2,43T,63,17.4,3
ChargersChargers,351,1062,3.0,7,3,0,26T,63,18.0,16
FalconsFalcons,350,1214,3.5,6,7,1,42,65,18.6,11
CardinalsCardinals,343,1278,3.7,6,10,0,29T,71,20.7,12
BrownsBrowns,336,1085,3.2,7,2,1,42,53,15.8,5
