Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
FalconsFalcons,0,0,0,0,93,20.0,975
BillsBills,0,0,0,0,138,26.6,1086
BearsBears,0,0,0,0,77,19.8,942
BengalsBengals,0,0,0,0,100,22.0,979
BrownsBrowns,0,0,0,0,100,22.4,1004
CowboysCowboys,0,0,0,0,103,25.8,964
BroncosBroncos,0,0,0,0,81,19.7,939
LionsLions,0,0,0,0,93,21.0,1008
PackersPackers,0,0,0,0,99,21.7,1033
OilersOilers,0,0,0,0,94,23.1,984
ColtsColts,0,0,0,0,140,25.7,961
ChiefsChiefs,0,0,0,0,88,21.1,927
RamsRams,0,0,0,0,105,22.4,920
RaidersRaiders,0,0,0,0,108,24.2,1002
DolphinsDolphins,0,0,0,0,133,26.6,1019
VikingsVikings,0,0,0,0,106,23.2,988
PatriotsPatriots,0,0,0,0,94,20.4,1050
SaintsSaints,0,0,0,0,63,18.9,876
GiantsGiants,0,0,0,0,103,24.9,888
JetsJets,0,0,0,0,94,24.8,954
EaglesEagles,0,0,0,0,53,13.8,906
CardinalsCardinals,0,0,0,0,132,26.8,965
SteelersSteelers,0,0,0,0,98,21.0,1039
ChargersChargers,0,0,0,0,94,21.9,960
49ers49ers,0,0,0,0,86,21.6,929
SeahawksSeahawks,0,0,0,0,91,20.9,988
BuccaneersBuccaneers,0,0,0,0,120,23.4,989
RedskinsRedskins,0,0,0,0,72,20.7,948
