Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
LionsLions,242,97,16,10,199,52.0,83,20.5,1064
FalconsFalcons,240,112,15,11,199,55.1,111,22.3,1097
RamsRams,235,78,15,8,179,50.6,84,19.6,1053
JetsJets,235,93,14,5,171,59.4,118,22.1,1087
DolphinsDolphins,230,92,10,3,189,56.4,91,20.4,1040
PanthersPanthers,227,69,23,10,125,48.8,78,18.2,962
ChiefsChiefs,226,83,23,10,167,61.0,129,23.2,1063
BengalsBengals,224,87,19,13,205,56.2,85,19.9,1046
RaidersRaiders,220,75,20,8,159,57.0,113,22.4,1039
SteelersSteelers,218,94,5,2,175,58.7,106,22.5,993
SaintsSaints,217,106,11,5,236,52.4,94,24.7,1067
EaglesEagles,214,85,13,9,188,54.0,116,27.1,1038
SeahawksSeahawks,214,76,17,6,159,49.1,81,21.0,964
NinersNiners,213,68,16,8,149,52.8,85,21.2,945
BillsBills,211,80,24,11,166,56.1,82,20.4,954
CowboysCowboys,211,86,22,13,201,53.0,104,24.3,1035
BuccaneersBuccaneers,211,89,14,10,172,56.2,97,22.5,955
RavensRavens,210,82,10,4,175,56.8,97,19.9,1018
CardinalsCardinals,209,58,18,7,153,53.7,65,20.3,931
RedskinsRedskins,208,61,12,6,194,55.6,72,20.5,1002
BroncosBroncos,207,67,19,6,204,61.1,81,20.4,1018
GiantsGiants,206,74,11,3,192,56.6,111,23.1,1035
PackersPackers,205,85,13,5,204,58.0,88,20.9,1000
VikingsVikings,205,71,17,8,159,52.1,104,23.6,982
ChargersChargers,205,92,13,5,236,65.7,94,20.6,1039
TitansTitans,204,71,14,8,155,56.8,73,18.0,907
ColtsColts,204,91,8,5,253,56.2,87,22.1,1088
JaguarsJaguars,203,81,25,16,161,55.3,148,28.9,1019
BrownsBrowns,202,75,7,5,154,52.0,87,21.1,927
PatriotsPatriots,197,95,14,7,196,59.2,119,26.2,986
BearsBears,195,64,7,2,163,59.1,76,18.4,936
TexansTexans,192,79,19,9,222,60.8,118,27.9,1029
