Team,Rsh TD,Rec TD,Tot TD,2-PT
ChiefsChiefs,32,24,63,0
EaglesEagles,23,17,43,0
BroncosBroncos,20,19,42,1
RamsRams,19,23,45,0
RavensRavens,18,16,41,0
PackersPackers,18,32,52,0
FalconsFalcons,17,14,35,0
SeahawksSeahawks,17,27,46,0
ColtsColts,16,29,47,0
ChargersChargers,16,21,38,0
49ers49ers,16,25,44,0
RaidersRaiders,15,9,29,0
VikingsVikings,15,32,51,0
TexansTexans,14,14,29,0
DolphinsDolphins,14,17,34,0
BillsBills,13,11,26,0
BearsBears,13,12,29,2
JaguarsJaguars,13,17,30,0
BengalsBengals,12,26,39,0
CowboysCowboys,11,17,31,0
TitansTitans,11,30,46,2
SaintsSaints,11,25,39,0
SteelersSteelers,10,19,33,1
PanthersPanthers,9,19,33,0
PatriotsPatriots,9,23,38,0
BrownsBrowns,8,17,27,0
JetsJets,8,20,29,0
RedskinsRedskins,8,21,30,0
GiantsGiants,6,16,24,2
LionsLions,5,17,26,0
CardinalsCardinals,5,18,25,1
BuccaneersBuccaneers,5,27,35,0
