Team,FF,FR,FR TD
RamsRams,25,0,0
ColtsColts,24,0,0
FalconsFalcons,23,0,0
RavensRavens,23,0,0
BuccaneersBuccaneers,23,0,0
GiantsGiants,21,0,0
SaintsSaints,20,0,0
CowboysCowboys,19,0,0
VikingsVikings,19,0,0
PatriotsPatriots,19,0,0
BroncosBroncos,18,0,0
PackersPackers,18,0,0
DolphinsDolphins,18,0,0
LionsLions,17,0,0
EaglesEagles,17,0,0
BengalsBengals,16,0,0
JaguarsJaguars,16,0,0
RedskinsRedskins,16,0,0
BillsBills,15,0,0
BrownsBrowns,15,0,0
ChiefsChiefs,15,0,0
49ers49ers,15,0,0
PanthersPanthers,14,0,0
TitansTitans,14,0,0
CardinalsCardinals,14,0,0
ChargersChargers,14,0,0
BearsBears,13,0,0
RaidersRaiders,12,0,0
SeahawksSeahawks,12,0,0
TexansTexans,11,0,0
JetsJets,11,0,0
SteelersSteelers,11,0,0
