Team,INT,INT TD,INT Yds,Lng
BengalsBengals,34,2,308,42
PackersPackers,26,3,524,90
RamsRams,26,4,390,92
BroncosBroncos,23,1,241,69T
PatriotsPatriots,23,2,255,46
SteelersSteelers,23,3,334,47
PanthersPanthers,22,0,277,42
VikingsVikings,22,1,206,41T
GiantsGiants,22,3,341,35
ChargersChargers,22,1,336,83T
RedskinsRedskins,21,1,214,68T
DolphinsDolphins,20,3,475,91
49ers49ers,20,1,176,55T
CowboysCowboys,19,0,168,24
EaglesEagles,19,1,303,90T
BearsBears,17,1,107,29T
ChiefsChiefs,17,0,171,34
RaidersRaiders,17,2,353,66
BuccaneersBuccaneers,17,0,139,26
RavensRavens,15,1,147,45T
BillsBills,14,0,113,31
SeahawksSeahawks,14,1,256,79T
ColtsColts,13,4,276,68
JaguarsJaguars,13,0,114,27
OilersOilers,12,1,162,53
SaintsSaints,12,0,114,33
LionsLions,11,2,169,98
JetsJets,11,2,165,100T
CardinalsCardinals,11,1,122,65T
FalconsFalcons,6,0,41,21
