Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,1
RavensRavens,0,0,2
BillsBills,0,0,1
PanthersPanthers,0,0,1
BearsBears,0,0,0
BengalsBengals,0,0,2
BrownsBrowns,0,0,0
CowboysCowboys,0,0,3
BroncosBroncos,0,0,2
LionsLions,0,0,1
PackersPackers,0,0,4
TitansTitans,0,0,3
TexansTexans,0,2,2
ColtsColts,0,0,1
JaguarsJaguars,0,1,0
ChiefsChiefs,0,0,0
RamsRams,0,0,0
RaidersRaiders,0,0,3
DolphinsDolphins,0,0,1
VikingsVikings,0,0,1
PatriotsPatriots,0,0,3
SaintsSaints,0,0,1
GiantsGiants,0,0,1
JetsJets,0,0,0
EaglesEagles,0,0,2
CardinalsCardinals,0,0,2
SteelersSteelers,0,0,1
ChargersChargers,0,0,1
49ers49ers,0,0,1
SeahawksSeahawks,0,0,1
BuccaneersBuccaneers,0,0,4
RedskinsRedskins,0,0,1
