Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
BrownsBrowns,605,363,60.0,5.8,3538,29,14,197,32.6,40
BroncosBroncos,613,357,58.2,6.6,4070,29,17,208,33.9,41
FalconsFalcons,516,341,66.1,7.6,3897,31,10,196,38.0,32
SaintsSaints,507,304,60.0,6.1,3105,20,12,168,33.1,49
LionsLions,572,338,59.1,6.9,3950,24,15,197,34.4,33
TexansTexans,484,287,59.3,6.4,3123,29,7,158,32.6,32
PatriotsPatriots,589,336,57.0,6.5,3824,25,17,208,35.3,48
RavensRavens,552,314,56.9,6.7,3681,25,16,176,31.9,40
RedskinsRedskins,514,337,65.6,7.6,3896,29,16,204,39.7,36
DolphinsDolphins,580,344,59.3,6.5,3752,17,18,192,33.1,42
JaguarsJaguars,551,354,64.2,7.2,3962,29,11,200,36.3,31
BengalsBengals,614,362,59.0,5.4,3344,22,20,178,29.0,43
CowboysCowboys,623,403,64.7,7.4,4589,33,15,231,37.1,34
SteelersSteelers,569,329,57.8,6.2,3553,21,10,174,30.6,34
ColtsColts,536,324,60.4,6.9,3711,21,15,191,35.6,42
BearsBears,507,315,62.1,7.4,3730,25,19,184,36.3,31
CardinalsCardinals,625,367,58.7,6.0,3728,29,20,208,33.3,47
PackersPackers,539,332,61.6,7.3,3956,30,11,190,35.2,44
GiantsGiants,601,361,60.1,6.0,3573,21,17,198,33.0,34
ChiefsChiefs,592,334,56.4,6.7,3962,25,21,189,31.9,47
VikingsVikings,648,419,64.7,7.1,4595,37,12,247,38.1,41
ChargersChargers,548,364,66.4,7.6,4139,23,11,208,38.0,35
TitansTitans,545,344,63.1,6.6,3612,15,13,191,35.0,36
BillsBills,561,310,55.3,5.8,3271,28,23,170,30.3,57
RaidersRaiders,549,374,68.1,7.4,4092,33,9,202,36.8,38
BuccaneersBuccaneers,547,352,64.4,7.0,3806,30,21,190,34.7,35
EaglesEagles,670,408,60.9,6.9,4636,25,19,239,35.7,37
RamsRams,521,355,68.1,7.4,3874,21,14,203,39.0,53
JetsJets,586,345,58.9,6.7,3947,26,13,198,33.8,41
PanthersPanthers,563,375,66.6,6.1,3429,17,20,178,31.6,60
SeahawksSeahawks,524,309,59.0,5.2,2752,16,28,156,29.8,44
NinersNiners,585,345,59.0,6.0,3536,19,18,181,30.9,38
