Team,FR TD,SFTY,INT TD
FalconsFalcons,1,0,2
BengalsBengals,1,0,1
CowboysCowboys,1,0,3
RavensRavens,0,0,3
BillsBills,0,0,2
PanthersPanthers,0,1,1
BearsBears,0,0,1
BrownsBrowns,0,0,2
BroncosBroncos,0,0,0
LionsLions,0,0,2
PackersPackers,0,0,3
TitansTitans,0,1,1
TexansTexans,0,0,0
ColtsColts,0,0,2
JaguarsJaguars,0,0,0
ChiefsChiefs,0,0,3
RamsRams,0,1,0
RaidersRaiders,0,2,2
DolphinsDolphins,0,0,0
VikingsVikings,0,0,1
PatriotsPatriots,0,0,4
SaintsSaints,0,0,2
GiantsGiants,0,0,0
JetsJets,0,2,3
EaglesEagles,0,0,1
CardinalsCardinals,0,0,3
SteelersSteelers,0,0,3
ChargersChargers,0,1,3
NinersNiners,0,0,3
SeahawksSeahawks,0,1,2
BuccaneersBuccaneers,0,0,3
RedskinsRedskins,0,0,1
