Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
BillsBills,521,1993,3.8,10,6,1,49T,130,25.0,9
EaglesEagles,508,2121,4.2,19,11,2,57,126,24.8,11
ChiefsChiefs,507,2222,4.4,14,11,3,76,113,22.3,6
CowboysCowboys,495,2201,4.4,29,13,4,60,141,28.5,16
SteelersSteelers,494,1852,3.8,17,8,0,38,117,23.7,12
BearsBears,492,1930,3.9,15,5,1,42,116,23.6,16
ChargersChargers,479,1747,3.6,14,7,2,48T,108,22.6,9
OilersOilers,478,1664,3.5,12,7,2,74,109,22.8,15
ColtsColts,478,1855,3.9,14,12,2,42,110,23.0,12
GiantsGiants,478,1833,3.8,17,5,0,36T,113,23.6,10
SeahawksSeahawks,477,2178,4.6,20,11,3,86,121,25.4,10
PatriotsPatriots,474,1866,3.9,16,13,1,49,106,22.4,9
RedskinsRedskins,469,1956,4.2,15,11,1,58,105,22.4,11
RaidersRaiders,463,1932,4.2,10,11,1,60,104,22.5,10
PanthersPanthers,454,1573,3.5,10,4,1,53,74,16.3,14
BroncosBroncos,440,1995,4.5,14,12,1,60T,114,25.9,13
VikingsVikings,433,1733,4.0,10,15,4,66,91,21.0,13
49ers49ers,415,1479,3.6,19,4,0,29T,109,26.3,6
DolphinsDolphins,413,1506,3.6,16,7,1,40T,98,23.7,10
PackersPackers,410,1428,3.5,9,7,1,40,84,20.5,3
JaguarsJaguars,410,1705,4.2,9,6,0,27T,100,24.4,8
BrownsBrowns,398,1482,3.7,5,5,0,29,83,20.8,11
BuccaneersBuccaneers,398,1587,4.0,19,7,1,75T,101,25.4,4
RamsRams,392,1431,3.6,5,2,1,41,77,19.6,8
LionsLions,387,1753,4.5,16,16,6,75T,91,23.5,4
CardinalsCardinals,387,1363,3.5,3,7,0,38,65,16.8,21
SaintsSaints,383,1390,3.6,11,7,2,66,75,19.6,6
JetsJets,365,1279,3.5,2,6,0,30,78,21.4,14
BengalsBengals,364,1439,4.0,7,8,0,30T,76,20.9,9
FalconsFalcons,337,1393,4.1,8,4,0,31T,85,25.2,6
