Team,FR TD,SFTY,INT TD
FalconsFalcons,0,0,0
RavensRavens,0,0,1
BillsBills,0,0,3
PanthersPanthers,0,0,1
BearsBears,0,0,3
BengalsBengals,0,0,1
BrownsBrowns,0,1,4
CowboysCowboys,0,0,3
BroncosBroncos,0,0,1
LionsLions,0,0,3
PackersPackers,0,1,2
TitansTitans,0,1,0
ColtsColts,0,0,1
JaguarsJaguars,0,1,0
ChiefsChiefs,0,1,1
RamsRams,0,0,4
RaidersRaiders,0,0,2
DolphinsDolphins,0,0,5
VikingsVikings,0,0,1
PatriotsPatriots,0,0,5
SaintsSaints,0,0,0
GiantsGiants,0,0,1
JetsJets,0,0,2
EaglesEagles,0,0,2
CardinalsCardinals,0,0,3
SteelersSteelers,0,0,2
ChargersChargers,0,0,1
49ers49ers,0,0,2
SeahawksSeahawks,0,0,2
BuccaneersBuccaneers,0,0,2
RedskinsRedskins,0,0,1
