Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
JaguarsJaguars,241,81,17,6,122,50.8,103,21.1,1002
BrownsBrowns,238,92,18,10,173,54.1,77,18.6,1024
RavensRavens,229,97,7,4,181,57.6,98,21.4,1036
RamsRams,228,64,23,8,159,54.4,79,19.3,1013
SeahawksSeahawks,228,77,15,7,153,51.2,89,20.0,1003
ChiefsChiefs,225,81,17,7,163,54.5,89,18.3,1021
FalconsFalcons,224,99,13,4,215,58.9,100,22.1,1073
TexansTexans,224,93,11,3,176,61.1,130,23.8,1046
NinersNiners,221,65,14,9,150,54.2,101,20.3,993
BengalsBengals,219,80,10,4,160,52.0,93,20.4,1015
RedskinsRedskins,219,81,13,4,204,59.0,79,19.8,1032
TitansTitans,218,80,14,10,185,52.4,71,18.9,984
VikingsVikings,216,83,18,7,159,55.6,118,26.3,1007
BroncosBroncos,214,66,13,3,130,59.9,129,23.6,1017
ColtsColts,214,74,11,4,170,56.3,69,18.1,951
JetsJets,213,74,11,4,173,55.8,90,20.3,1030
LionsLions,212,76,14,8,244,57.7,71,19.9,1058
ChargersChargers,211,103,11,4,234,63.9,97,22.2,1048
SaintsSaints,208,118,10,3,280,59.3,116,26.9,1117
DolphinsDolphins,207,69,16,6,166,59.3,89,19.0,990
GiantsGiants,206,77,13,4,216,60.2,84,20.4,1028
BuccaneersBuccaneers,206,76,21,8,180,49.3,74,21.4,966
EaglesEagles,205,85,15,7,197,59.7,134,29.8,1036
CardinalsCardinals,205,66,15,9,175,57.0,83,21.3,993
BearsBears,203,66,8,2,153,57.1,96,21.0,978
RaidersRaiders,199,71,13,7,186,59.0,110,23.6,1015
CowboysCowboys,198,78,10,5,219,58.2,91,22.3,1017
SteelersSteelers,196,90,8,3,221,64.8,96,22.1,1015
PatriotsPatriots,194,89,11,7,262,65.2,107,24.4,1082
BillsBills,191,62,22,9,180,50.6,99,25.3,992
PackersPackers,189,91,8,4,230,61.2,89,22.5,988
PanthersPanthers,185,75,10,6,175,56.1,139,31.2,999
