Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
BillsBills,375,1493,4.0,11,79,21.1
BroncosBroncos,356,1287,3.6,8,80,22.5
BuccaneersBuccaneers,415,1583,3.8,12,75,18.1
FalconsFalcons,361,1203,3.3,7,65,18.0
JetsJets,400,1659,4.2,11,87,21.8
CowboysCowboys,401,1619,4.0,10,84,21.0
49ers49ers,395,1610,4.1,13,91,23.0
SteelersSteelers,479,1642,3.4,8,88,18.4
JaguarsJaguars,450,2000,4.4,9,108,24.0
GiantsGiants,476,2004,4.2,13,103,21.6
OilersOilers,414,1610,3.9,9,81,19.6
ChargersChargers,422,1140,2.7,12,72,17.1
DolphinsDolphins,395,1511,3.8,6,75,19.0
BearsBears,479,1875,3.9,12,121,25.3
VikingsVikings,404,1614,4.0,12,102,25.2
CardinalsCardinals,492,1989,4.0,18,117,23.8
RaidersRaiders,482,1674,3.5,8,95,19.7
PackersPackers,390,1442,3.7,7,67,17.2
LionsLions,487,2102,4.3,15,113,23.2
ChiefsChiefs,491,1869,3.8,22,119,24.2
EaglesEagles,528,2416,4.6,18,125,23.7
SeahawksSeahawks,487,1999,4.1,13,111,22.8
RavensRavens,472,1705,3.6,12,90,19.1
PanthersPanthers,491,2133,4.3,14,95,19.4
BengalsBengals,558,2612,4.7,23,142,25.4
PatriotsPatriots,447,1547,3.5,8,76,17.0
RedskinsRedskins,531,2436,4.6,24,127,23.9
RamsRams,479,2049,4.3,11,92,19.2
ColtsColts,544,2570,4.7,20,131,24.1
SaintsSaints,467,1700,3.6,13,86,18.4
