Team,FR TD,SFTY,INT TD
CowboysCowboys,3,0,0
BrownsBrowns,2,0,1
JaguarsJaguars,2,0,2
RaidersRaiders,2,0,1
DolphinsDolphins,2,1,0
PatriotsPatriots,2,0,5
CardinalsCardinals,2,0,3
PanthersPanthers,1,0,2
BengalsBengals,1,0,0
VikingsVikings,1,0,0
GiantsGiants,1,0,1
49ers49ers,1,0,2
CommandersCommanders,1,1,2
FalconsFalcons,0,1,1
RavensRavens,0,0,0
BillsBills,0,2,1
BearsBears,0,0,0
BroncosBroncos,0,1,0
LionsLions,0,1,1
PackersPackers,0,1,2
TitansTitans,0,0,1
TexansTexans,0,1,1
ColtsColts,0,0,2
ChiefsChiefs,0,1,2
RamsRams,0,0,1
SaintsSaints,0,0,1
JetsJets,0,2,0
EaglesEagles,0,0,2
SteelersSteelers,0,0,1
ChargersChargers,0,1,1
SeahawksSeahawks,0,0,1
BuccaneersBuccaneers,0,0,1
