Team,INT,INT TD,INT Yds,Lng
CowboysCowboys,26,5,405,66
PatriotsPatriots,23,3,322,88
BillsBills,19,1,238,26T
ColtsColts,19,0,175,32
RamsRams,19,0,192,34
PackersPackers,18,2,164,55T
SaintsSaints,18,2,313,53T
TexansTexans,17,1,295,82T
BuccaneersBuccaneers,17,2,177,31T
TitansTitans,16,2,128,24
VikingsVikings,16,2,256,66
ChiefsChiefs,15,2,160,75
GiantsGiants,15,1,135,41T
DolphinsDolphins,14,3,175,85
BengalsBengals,13,1,266,65
BrownsBrowns,13,1,148,99T
BroncosBroncos,13,1,221,70T
CardinalsCardinals,13,1,247,77T
SteelersSteelers,13,0,105,41
FalconsFalcons,12,2,202,66
EaglesEagles,12,2,142,51
LionsLions,11,0,108,50
ChargersChargers,11,0,70,26
SeahawksSeahawks,11,0,92,29
Football TeamFootball Team,11,2,120,31
RavensRavens,9,1,38,21T
PanthersPanthers,9,0,103,29
49ers49ers,9,2,136,40
BearsBears,8,1,135,53T
JaguarsJaguars,7,0,57,23
JetsJets,7,1,114,32
RaidersRaiders,6,0,68,35
