Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
TitansTitans,387,1390,3.6,7,62,16.0
SteelersSteelers,425,1693,4.0,9,82,19.3
RaidersRaiders,383,1551,4.0,8,85,22.2
BroncosBroncos,344,1598,4.6,13,80,23.3
RavensRavens,361,970,2.7,5,59,16.3
GiantsGiants,359,1156,3.2,7,62,17.3
SaintsSaints,395,1672,4.2,14,95,24.0
DolphinsDolphins,417,1736,4.2,9,92,22.1
BengalsBengals,504,1925,3.8,12,101,20.0
BuccaneersBuccaneers,398,1648,4.1,12,84,21.1
JaguarsJaguars,436,1685,3.9,14,85,19.5
BillsBills,444,1559,3.5,13,76,17.1
CowboysCowboys,538,2636,4.9,17,137,25.5
LionsLions,421,1823,4.3,14,96,22.8
RedskinsRedskins,430,1853,4.3,9,97,22.6
ColtsColts,446,1935,4.3,13,109,24.4
VikingsVikings,396,1788,4.5,17,110,27.8
PatriotsPatriots,495,1831,3.7,12,108,21.8
JetsJets,476,1888,4.0,9,98,20.6
BearsBears,469,1827,3.9,15,106,22.6
49ers49ers,435,1794,4.1,22,110,25.3
PackersPackers,417,1618,3.9,7,84,20.1
SeahawksSeahawks,503,2454,4.9,20,126,25.0
EaglesEagles,453,1830,4.0,10,105,23.2
ChiefsChiefs,441,1809,4.1,13,103,23.4
RamsRams,383,1697,4.4,18,95,24.8
PanthersPanthers,426,1944,4.6,12,107,25.1
ChargersChargers,470,1422,3.0,10,76,16.2
FalconsFalcons,453,1983,4.4,16,113,24.9
CardinalsCardinals,578,2609,4.5,29,149,25.8
BrownsBrowns,594,2505,4.2,26,147,24.8
