Team,FF,FR,FR TD
CowboysCowboys,20,10,0
BuccaneersBuccaneers,18,13,3
JaguarsJaguars,17,12,5
RamsRams,17,10,0
SaintsSaints,17,5,1
CardinalsCardinals,17,6,1
49ers49ers,17,10,0
RavensRavens,16,12,2
BillsBills,16,7,2
LionsLions,16,13,2
PanthersPanthers,15,11,1
BearsBears,14,14,1
BrownsBrowns,14,6,0
EaglesEagles,14,10,4
TexansTexans,13,5,2
ChargersChargers,13,9,1
SeahawksSeahawks,13,9,1
FalconsFalcons,12,8,2
ChiefsChiefs,12,10,3
RaidersRaiders,12,9,0
GiantsGiants,12,6,0
SteelersSteelers,12,6,0
RedskinsRedskins,12,7,0
TitansTitans,11,9,1
ColtsColts,11,7,0
PackersPackers,10,10,1
DolphinsDolphins,9,6,2
PatriotsPatriots,9,5,0
JetsJets,9,9,0
BroncosBroncos,8,7,2
VikingsVikings,8,5,0
BengalsBengals,4,2,0
