Team,Rsh TD,Rec TD,Tot TD,2-PT
CowboysCowboys,29,18,51,0
SeahawksSeahawks,20,19,40,0
EaglesEagles,19,11,32,0
49ers49ers,19,29,55,1
BuccaneersBuccaneers,19,5,25,0
GiantsGiants,17,11,32,1
SteelersSteelers,17,21,42,1
LionsLions,16,33,49,0
DolphinsDolphins,16,28,45,0
PatriotsPatriots,16,14,31,1
BearsBears,15,29,46,0
RedskinsRedskins,15,16,34,0
BroncosBroncos,14,27,41,1
ColtsColts,14,20,36,0
ChiefsChiefs,14,21,40,0
ChargersChargers,14,17,35,0
OilersOilers,12,22,38,2
SaintsSaints,11,26,38,0
BillsBills,10,24,37,0
PanthersPanthers,10,16,29,0
RaidersRaiders,10,25,38,0
VikingsVikings,10,33,46,1
PackersPackers,9,39,48,0
JaguarsJaguars,9,19,31,0
FalconsFalcons,8,26,38,0
BengalsBengals,7,29,37,1
BrownsBrowns,5,21,29,1
RamsRams,5,27,34,0
CardinalsCardinals,3,17,26,0
JetsJets,2,20,25,0
