Team,INT,INT TD,INT Yds,Lng
PatriotsPatriots,25,4,419,59
PackersPackers,24,3,318,64
EaglesEagles,23,1,182,40T
FalconsFalcons,22,2,337,40
BearsBears,21,1,332,56T
SteelersSteelers,21,3,248,79
CowboysCowboys,20,3,302,101
RavensRavens,19,3,289,44
BrownsBrowns,19,2,320,64
BuccaneersBuccaneers,19,3,339,64
PanthersPanthers,17,1,285,66T
TitansTitans,17,1,198,41T
CardinalsCardinals,17,3,424,66
BengalsBengals,16,1,200,56T
GiantsGiants,16,0,110,36
ChargersChargers,16,3,240,41
VikingsVikings,15,1,152,41T
NinersNiners,15,3,239,62
LionsLions,14,2,194,42
ChiefsChiefs,14,3,204,54
RamsRams,14,0,161,34
RedskinsRedskins,14,1,199,92T
TexansTexans,13,0,90,23
JaguarsJaguars,13,0,105,47
RaidersRaiders,12,2,105,30
JetsJets,12,3,214,66
SeahawksSeahawks,12,2,168,34
BillsBills,11,2,210,56
DolphinsDolphins,11,0,66,21
BroncosBroncos,10,0,118,36
ColtsColts,10,2,206,44T
SaintsSaints,9,2,196,96T
