Team,FF,FR,FR TD
SaintsSaints,29,20,3
SteelersSteelers,24,21,1
ChiefsChiefs,21,15,2
BengalsBengals,20,17,2
BrownsBrowns,20,20,3
JetsJets,20,18,0
PackersPackers,19,19,1
BroncosBroncos,18,16,1
PatriotsPatriots,18,15,2
CardinalsCardinals,18,12,0
SeahawksSeahawks,18,11,1
RedskinsRedskins,18,11,1
BearsBears,17,16,1
CowboysCowboys,15,14,1
RamsRams,15,15,0
DolphinsDolphins,15,14,0
GiantsGiants,15,12,0
FalconsFalcons,14,12,1
BillsBills,14,12,1
LionsLions,14,11,1
OilersOilers,14,11,3
ColtsColts,14,15,0
VikingsVikings,14,14,2
49ers49ers,14,12,1
BuccaneersBuccaneers,12,13,3
RaidersRaiders,11,7,0
EaglesEagles,11,13,1
ChargersChargers,10,11,0
