Team,Rsh TD,Rec TD,Tot TD,2-PT
SaintsSaints,23,23,50,1
CowboysCowboys,18,22,42,0
TitansTitans,18,14,32,0
JaguarsJaguars,18,21,42,3
RamsRams,17,28,51,0
PatriotsPatriots,16,32,49,2
PanthersPanthers,15,22,39,1
VikingsVikings,15,25,41,2
49ers49ers,15,15,31,0
RavensRavens,14,20,40,1
BearsBears,13,13,30,1
PackersPackers,13,25,39,1
RaidersRaiders,13,23,36,2
JetsJets,13,19,32,1
FalconsFalcons,12,21,34,0
BillsBills,12,16,29,0
ChiefsChiefs,12,26,39,0
SteelersSteelers,12,29,43,2
BrownsBrowns,11,15,27,1
ColtsColts,11,13,25,0
LionsLions,10,29,44,2
ChargersChargers,10,28,42,0
RedskinsRedskins,10,27,39,0
EaglesEagles,9,38,49,6
BroncosBroncos,8,19,29,2
TexansTexans,8,28,38,2
BuccaneersBuccaneers,8,26,35,2
BengalsBengals,6,25,34,0
GiantsGiants,6,20,28,1
CardinalsCardinals,6,21,28,1
DolphinsDolphins,4,24,29,1
SeahawksSeahawks,4,34,42,2
