Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
TitansTitans,369,1478,4.0,11,80,21.7
JaguarsJaguars,390,1605,4.1,12,92,23.6
SteelersSteelers,361,1438,4.0,6,74,20.5
RaidersRaiders,486,2334,4.8,24,121,24.9
RedskinsRedskins,391,1460,3.7,10,89,22.8
VikingsVikings,379,1185,3.1,7,67,17.7
ChargersChargers,416,1712,4.1,11,89,21.4
GiantsGiants,408,1563,3.8,12,83,20.3
PanthersPanthers,472,1771,3.8,13,100,21.2
PatriotsPatriots,360,1572,4.4,7,91,25.3
BuccaneersBuccaneers,454,1726,3.8,11,93,20.5
BillsBills,454,1993,4.4,15,104,22.9
RavensRavens,446,1268,2.8,9,69,15.5
ColtsColts,454,1711,3.8,10,111,24.4
JetsJets,517,2156,4.2,14,128,24.8
BrownsBrowns,460,2072,4.5,8,100,21.7
SeahawksSeahawks,422,1644,3.9,16,78,18.5
BroncosBroncos,501,2282,4.6,14,119,23.8
BearsBears,454,1967,4.3,17,100,22.0
EaglesEagles,403,1533,3.8,10,80,19.8
CowboysCowboys,381,1513,4.0,12,86,22.6
TexansTexans,417,1825,4.4,15,107,25.7
BengalsBengals,449,1893,4.2,11,98,21.8
RamsRams,445,1844,4.1,16,105,23.6
CardinalsCardinals,407,1567,3.8,13,90,22.1
SaintsSaints,408,1646,4.0,7,80,19.6
DolphinsDolphins,544,2456,4.5,18,129,23.7
PackersPackers,424,1647,3.9,6,77,18.2
FalconsFalcons,481,2033,4.2,12,105,21.8
ChiefsChiefs,481,2089,4.3,11,104,21.6
NinersNiners,504,1896,3.8,9,94,18.6
LionsLions,448,1911,4.3,19,116,25.9
