Team,INT,INT TD,INT Yds,Lng
VikingsVikings,28,6,502,84
ChargersChargers,25,1,405,69
ChiefsChiefs,24,6,403,99
EaglesEagles,24,2,307,43T
BillsBills,23,2,325,82T
RedskinsRedskins,23,2,485,65
SteelersSteelers,22,1,384,65T
LionsLions,21,0,255,35
JetsJets,21,3,269,77
OilersOilers,20,1,181,27T
ColtsColts,20,1,302,90T
SeahawksSeahawks,20,0,324,69
BuccaneersBuccaneers,20,1,234,75T
RamsRams,18,1,283,40
DolphinsDolphins,18,3,458,103
SaintsSaints,18,3,254,71
CowboysCowboys,17,1,158,30T
49ers49ers,17,1,172,56T
BengalsBengals,16,1,205,66T
CardinalsCardinals,16,3,298,46T
BroncosBroncos,15,1,210,46T
PackersPackers,15,1,222,43T
BearsBears,14,0,188,46
PatriotsPatriots,14,3,285,82
GiantsGiants,14,1,192,69T
BrownsBrowns,13,1,222,92T
RaidersRaiders,12,1,339,102T
FalconsFalcons,11,0,135,55
