Team,INT,INT TD,INT Yds,Lng
PatriotsPatriots,29,5,358,65
VikingsVikings,28,4,693,80
ChiefsChiefs,25,3,310,79
RavensRavens,24,4,511,83
RamsRams,24,3,505,74
49ers49ers,23,1,389,68T
DolphinsDolphins,22,2,338,74T
PackersPackers,21,2,315,90
TitansTitans,21,3,312,60
BuccaneersBuccaneers,20,3,229,44
RedskinsRedskins,17,0,184,44
PanthersPanthers,16,3,238,53
SeahawksSeahawks,16,0,157,33
FalconsFalcons,15,3,197,41
BearsBears,15,1,191,45T
BrownsBrowns,15,1,168,75T
LionsLions,15,1,130,48T
ColtsColts,15,2,244,75
JaguarsJaguars,15,0,78,21
BengalsBengals,14,0,123,31
TexansTexans,14,1,205,95
RaidersRaiders,14,2,280,83T
SaintsSaints,14,2,226,73
SteelersSteelers,14,2,215,42
CowboysCowboys,13,2,183,41
EaglesEagles,13,1,158,34T
CardinalsCardinals,13,1,271,70T
ChargersChargers,13,1,157,41T
JetsJets,11,0,155,39
BillsBills,10,2,114,54
GiantsGiants,10,2,199,56
BroncosBroncos,9,1,39,16T
