Team,FR TD,SFTY,INT TD
FalconsFalcons,4,1,2
SaintsSaints,4,2,5
PackersPackers,2,1,1
OilersOilers,2,0,2
JaguarsJaguars,2,0,0
VikingsVikings,2,1,3
JetsJets,2,1,1
SeahawksSeahawks,2,0,8
BillsBills,1,1,1
BearsBears,1,2,1
BengalsBengals,1,0,1
CowboysCowboys,1,1,1
ChiefsChiefs,1,1,0
RaidersRaiders,1,0,3
RavensRavens,0,2,2
PanthersPanthers,0,0,2
BroncosBroncos,0,0,2
LionsLions,0,0,1
ColtsColts,0,0,0
RamsRams,0,0,1
DolphinsDolphins,0,0,4
PatriotsPatriots,0,0,3
GiantsGiants,0,0,3
EaglesEagles,0,1,0
CardinalsCardinals,0,2,1
SteelersSteelers,0,0,3
ChargersChargers,0,1,1
49ers49ers,0,0,0
BuccaneersBuccaneers,0,0,1
RedskinsRedskins,0,1,0
