Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
SaintsSaints,524,327,62.4,7.5,3924,32,13,196,37.4,32
CardinalsCardinals,570,361,63.3,6.5,3716,26,18,185,32.5,36
SeahawksSeahawks,568,333,58.6,6.2,3505,15,20,183,32.2,45
LionsLions,602,422,70.1,6.9,4131,32,17,221,36.7,37
PatriotsPatriots,526,314,59.7,5.8,3041,23,19,172,32.7,47
PackersPackers,534,295,55.2,6.3,3366,23,19,176,33.0,36
EaglesEagles,539,312,57.9,6.4,3449,16,11,177,32.8,37
BengalsBengals,540,353,65.4,6.8,3687,29,19,200,37.0,22
RamsRams,523,318,60.8,6.9,3613,25,18,190,36.3,31
BearsBears,541,343,63.4,6.8,3708,19,16,185,34.2,41
ChiefsChiefs,462,276,59.7,6.5,3022,17,14,156,33.8,37
DolphinsDolphins,409,242,59.2,7.4,3019,28,14,165,40.3,30
RavensRavens,490,293,59.8,7.3,3557,27,17,162,33.1,32
FalconsFalcons,536,336,62.7,6.8,3655,27,16,190,35.4,25
ColtsColts,498,325,65.3,5.6,2764,16,22,162,32.5,28
BrownsBrowns,578,340,58.8,6.4,3681,29,17,211,36.5,28
GiantsGiants,523,306,58.5,6.3,3317,24,15,185,35.4,53
CowboysCowboys,581,342,58.9,5.9,3409,19,19,195,33.6,46
TexansTexans,546,361,66.1,6.7,3682,25,11,197,36.1,31
RedskinsRedskins,602,351,58.3,5.7,3424,20,14,174,28.9,33
BroncosBroncos,458,279,60.9,6.8,3094,25,14,168,36.7,33
NinersNiners,543,345,63.5,6.7,3643,24,12,187,34.4,31
JetsJets,470,289,61.5,6.7,3154,18,15,174,37.0,29
PanthersPanthers,537,337,62.8,6.4,3426,22,14,174,32.4,23
BuccaneersBuccaneers,490,297,60.6,5.6,2728,18,16,158,32.2,33
ChargersChargers,555,338,60.9,6.2,3412,20,30,185,33.3,42
JaguarsJaguars,543,319,58.8,6.3,3416,20,20,181,33.3,37
TitansTitans,569,349,61.3,5.6,3187,21,22,165,29.0,40
RaidersRaiders,439,261,59.4,7.1,3132,17,18,156,35.5,27
BillsBills,567,354,62.4,6.7,3814,19,18,203,35.8,26
SteelersSteelers,536,292,54.5,5.3,2824,22,11,158,29.5,36
VikingsVikings,646,415,64.2,6.5,4225,22,15,222,34.4,38
