Team,FR TD,SFTY,INT TD
RavensRavens,3,2,0
PanthersPanthers,3,0,0
CowboysCowboys,2,0,0
DolphinsDolphins,2,0,0
BillsBills,1,0,2
BearsBears,1,1,0
PackersPackers,1,1,1
TitansTitans,1,0,0
RamsRams,1,1,3
PatriotsPatriots,1,0,1
GiantsGiants,1,0,1
EaglesEagles,1,1,1
Football TeamFootball Team,1,1,2
FalconsFalcons,0,0,1
BengalsBengals,0,0,0
BrownsBrowns,0,2,2
BroncosBroncos,0,0,0
LionsLions,0,1,0
TexansTexans,0,0,1
ColtsColts,0,3,4
JaguarsJaguars,0,0,1
ChiefsChiefs,0,1,2
RaidersRaiders,0,0,0
VikingsVikings,0,1,0
SaintsSaints,0,1,1
JetsJets,0,1,1
CardinalsCardinals,0,1,0
SteelersSteelers,0,1,3
ChargersChargers,0,1,2
49ers49ers,0,0,1
SeahawksSeahawks,0,3,0
BuccaneersBuccaneers,0,1,1
