Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
SteelersSteelers,403,1318,3.3,5,82,20.4
OilersOilers,414,1573,3.8,12,79,19.1
ChiefsChiefs,413,1621,3.9,8,94,22.8
49ers49ers,386,1366,3.5,5,67,17.4
GiantsGiants,432,1451,3.4,17,82,19.0
BroncosBroncos,381,1803,4.7,10,83,21.8
BearsBears,421,1858,4.4,18,97,23.0
BuccaneersBuccaneers,420,1617,3.8,10,96,22.9
EaglesEagles,476,2009,4.2,16,115,24.2
PackersPackers,443,1876,4.2,16,105,23.7
JaguarsJaguars,455,1734,3.8,12,107,23.5
RedskinsRedskins,508,2212,4.4,15,129,25.4
BengalsBengals,514,2223,4.3,15,141,27.4
ColtsColts,438,2034,4.6,18,95,21.7
VikingsVikings,442,1983,4.5,13,104,23.5
LionsLions,471,1833,3.9,15,98,20.8
RamsRams,440,1687,3.8,10,84,19.1
FalconsFalcons,409,1666,4.1,18,76,18.6
PanthersPanthers,497,1973,4.0,12,112,22.5
JetsJets,470,1899,4.0,9,103,21.9
DolphinsDolphins,443,1813,4.1,9,106,23.9
CowboysCowboys,511,1994,3.9,12,104,20.4
BillsBills,493,1792,3.6,11,85,17.2
RavensRavens,471,1690,3.6,17,101,21.4
SaintsSaints,496,1764,3.6,11,95,19.2
ChargersChargers,453,1698,3.8,12,92,20.3
SeahawksSeahawks,455,1731,3.8,10,96,21.1
PatriotsPatriots,436,1616,3.7,16,114,26.2
CardinalsCardinals,524,2180,4.2,13,112,21.4
RaidersRaiders,525,2246,4.3,19,121,23.0
