Team,FF,FR,FR TD
ChiefsChiefs,25,17,2
SaintsSaints,25,20,2
BillsBills,24,24,1
SteelersSteelers,24,14,2
LionsLions,21,16,2
JetsJets,21,18,0
OilersOilers,20,17,3
EaglesEagles,20,15,1
GiantsGiants,19,10,0
CardinalsCardinals,19,17,2
VikingsVikings,18,10,0
PackersPackers,17,15,1
SeahawksSeahawks,17,15,2
RedskinsRedskins,17,14,2
FalconsFalcons,15,11,1
BearsBears,15,12,2
BroncosBroncos,15,13,0
ColtsColts,15,11,2
DolphinsDolphins,15,14,0
49ers49ers,15,11,1
BrownsBrowns,14,9,1
BuccaneersBuccaneers,14,13,0
BengalsBengals,13,14,0
CowboysCowboys,11,14,0
RaidersRaiders,11,9,0
PatriotsPatriots,11,9,0
RamsRams,10,9,1
ChargersChargers,10,12,0
