Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
BrownsBrowns,681,379,55.6,6.4,4372,26,20,75.7,200,29.4,52,14,95,49,325
BroncosBroncos,675,461,68.3,8.2,5572,55,10,114.4,293,43.4,68,13,78T,20,128
FalconsFalcons,659,445,67.5,6.9,4541,26,17,89.5,227,34.4,44,9,81T,44,298
SaintsSaints,651,446,68.5,7.9,5162,39,12,104.5,244,37.5,67,15,76T,37,244
LionsLions,634,371,58.5,7.3,4650,29,19,84.2,221,34.9,62,10,87,23,168
TexansTexans,633,371,58.6,6.6,4183,19,22,74.0,198,31.3,53,9,66,42,370
PatriotsPatriots,628,380,60.5,6.9,4343,25,11,87.3,225,35.8,49,8,81T,40,256
RavensRavens,619,363,58.6,6.3,3914,19,23,72.0,189,30.5,45,14,74,48,324
RedskinsRedskins,611,355,58.1,6.6,4057,20,19,76.1,198,32.4,39,6,62T,43,306
DolphinsDolphins,594,357,60.1,6.7,3966,24,19,80.1,205,34.5,47,11,67,58,399
JaguarsJaguars,592,349,59.0,6.3,3751,16,21,71.8,176,29.7,44,6,67,50,310
BengalsBengals,587,364,62.0,7.4,4318,33,20,89.0,205,34.9,57,15,82T,29,182
CowboysCowboys,586,375,64.0,7.2,4226,33,12,95.7,213,36.4,48,7,82T,35,272
SteelersSteelers,586,377,64.3,7.4,4306,28,14,92.3,207,35.3,61,10,67,43,289
ColtsColts,582,350,60.1,6.8,3952,23,10,86.5,191,32.8,45,10,73T,32,227
BearsBears,579,373,64.4,7.7,4450,32,13,96.9,215,37.1,53,11,80T,30,169
CardinalsCardinals,574,363,63.2,7.5,4291,24,22,83.9,205,35.7,49,9,91T,41,289
PackersPackers,570,366,64.2,8.0,4538,25,16,91.7,201,35.3,65,11,83T,45,270
GiantsGiants,567,325,57.3,6.8,3875,18,29,67.6,176,31.0,54,7,70T,40,287
ChiefsChiefs,546,333,61.0,6.5,3561,24,8,88.6,179,32.8,45,7,71T,41,221
VikingsVikings,546,325,59.5,6.7,3645,18,19,76.0,173,31.7,54,7,79T,44,218
ChargersChargers,544,378,69.5,8.2,4478,32,11,105.5,230,42.3,60,6,60T,30,150
TitansTitans,533,328,61.5,7.0,3710,22,16,83.6,172,32.3,48,10,77,37,214
BillsBills,522,299,57.3,6.5,3373,16,15,75.0,149,28.5,46,9,59T,48,270
RaidersRaiders,519,298,57.4,7.0,3629,17,20,73.9,168,32.4,48,8,73,44,289
BuccaneersBuccaneers,514,291,56.6,6.2,3181,22,12,79.6,157,30.5,39,7,85,47,361
EaglesEagles,508,310,61.0,8.7,4406,32,9,102.7,197,38.8,80,18,70T,46,296
RamsRams,506,301,59.5,6.6,3360,22,11,84.8,165,32.6,41,5,81T,36,235
JetsJets,480,266,55.4,6.8,3270,13,22,66.6,154,32.1,47,6,69T,47,338
PanthersPanthers,473,292,61.7,7.1,3379,24,13,88.8,169,35.7,33,7,79T,43,336
SeahawksSeahawks,420,267,63.6,8.4,3508,27,9,102.4,160,38.1,52,10,80,44,272
NinersNiners,417,244,58.5,7.7,3210,21,8,91.7,148,35.5,46,10,64T,39,231
