Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
SteelersSteelers,201,68,10,4,74,18.6,962
PatriotsPatriots,231,96,13,5,97,19.2,1013
BillsBills,235,107,18,6,114,22.8,1119
BroncosBroncos,215,71,17,8,86,21.7,1005
PackersPackers,217,70,19,3,88,20.8,999
BengalsBengals,212,85,11,7,134,25.7,1000
EaglesEagles,205,66,20,15,91,19.5,966
ChargersChargers,210,83,8,4,86,20.8,1002
GiantsGiants,196,67,23,12,89,22.5,950
SeahawksSeahawks,229,91,13,6,106,23.4,1085
JetsJets,200,81,19,9,93,22.1,949
CardinalsCardinals,206,76,5,1,106,24.5,962
DolphinsDolphins,229,103,10,3,103,22.4,1061
LionsLions,225,92,11,7,108,24.9,990
OilersOilers,208,64,24,12,73,19.8,1003
VikingsVikings,207,81,6,3,98,23.6,938
BearsBears,214,80,15,6,112,23.5,1026
BuccaneersBuccaneers,224,85,16,5,109,22.8,1011
RedskinsRedskins,215,92,15,5,127,24.8,1027
FalconsFalcons,200,73,16,7,79,18.8,951
ChiefsChiefs,210,86,13,3,103,22.7,1013
RaidersRaiders,204,74,9,5,111,22.5,996
ColtsColts,206,85,12,8,151,26.3,1050
SaintsSaints,227,92,16,9,116,22.6,1008
CowboysCowboys,219,87,17,6,94,22.2,1012
RamsRams,218,102,17,10,117,24.4,1003
BrownsBrowns,231,88,13,6,94,20.8,1040
49ers49ers,214,87,20,9,109,27.0,1012
