Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
JaguarsJaguars,218,79,9,4,73,16.8,979
BrownsBrowns,230,95,14,6,124,23.2,1035
RavensRavens,221,71,21,10,79,18.8,1002
RamsRams,216,83,8,5,122,23.9,1033
SeahawksSeahawks,221,77,11,7,96,20.3,1049
ChiefsChiefs,210,72,16,7,96,18.9,991
FalconsFalcons,211,93,11,6,87,23.4,965
TexansTexans,212,76,13,6,73,19.3,960
NinersNiners,216,76,17,7,53,15.0,974
BengalsBengals,220,78,11,4,94,22.1,1009
RedskinsRedskins,206,77,10,4,95,21.7,988
TitansTitans,236,96,20,8,111,24.1,1080
VikingsVikings,208,92,9,5,92,21.0,1027
BroncosBroncos,218,73,9,3,101,20.7,1063
ColtsColts,216,98,6,3,136,25.2,1062
JetsJets,211,69,10,1,83,18.4,993
LionsLions,205,67,19,8,91,22.2,1055
ChargersChargers,195,96,9,1,102,22.8,958
SaintsSaints,202,67,22,6,92,26.2,1010
DolphinsDolphins,219,74,14,7,88,21.4,1043
GiantsGiants,220,84,18,10,103,23.7,1072
BuccaneersBuccaneers,185,73,13,9,135,27.1,1002
EaglesEagles,211,75,17,7,84,20.3,982
CardinalsCardinals,226,71,8,4,118,24.8,1095
BearsBears,229,80,17,7,75,19.5,1048
RaidersRaiders,219,92,14,4,105,24.4,1070
CowboysCowboys,204,81,11,4,78,20.3,972
SteelersSteelers,221,86,13,8,82,20.6,964
PatriotsPatriots,202,87,19,8,101,24.9,1064
BillsBills,189,75,13,9,120,25.7,1003
PackersPackers,195,83,16,4,96,25.1,1049
PanthersPanthers,194,83,12,4,110,24.4,972
