Team,FF,FR,FR TD
BearsBears,23,0,0
VikingsVikings,23,0,0
NinersNiners,23,0,0
PanthersPanthers,22,0,0
FalconsFalcons,20,0,0
BroncosBroncos,20,0,0
GiantsGiants,20,0,0
LionsLions,18,0,0
PatriotsPatriots,18,0,0
ChargersChargers,18,0,0
CowboysCowboys,17,0,0
RedskinsRedskins,17,0,0
RavensRavens,15,0,0
JaguarsJaguars,15,0,0
SaintsSaints,15,0,0
JetsJets,15,0,0
EaglesEagles,15,0,0
ColtsColts,14,0,0
RamsRams,14,0,0
DolphinsDolphins,14,0,0
SteelersSteelers,14,0,0
BillsBills,13,0,0
TitansTitans,13,0,0
TexansTexans,13,0,0
RaidersRaiders,13,0,0
SeahawksSeahawks,13,0,0
PackersPackers,12,0,0
CardinalsCardinals,12,0,0
BengalsBengals,11,0,0
BrownsBrowns,11,0,0
ChiefsChiefs,11,0,0
BuccaneersBuccaneers,10,0,0
