Team,FF,FR,FR TD
TitansTitans,26,0,0
RavensRavens,25,0,0
LionsLions,24,0,0
BroncosBroncos,23,0,0
PanthersPanthers,22,0,0
DolphinsDolphins,21,0,0
RaidersRaiders,20,0,0
BrownsBrowns,18,0,0
SaintsSaints,18,0,0
BillsBills,17,0,0
JaguarsJaguars,17,0,0
SteelersSteelers,17,0,0
BengalsBengals,16,0,0
JetsJets,16,0,0
EaglesEagles,16,0,0
SeahawksSeahawks,16,0,0
RedskinsRedskins,16,0,0
CowboysCowboys,15,0,0
PatriotsPatriots,15,0,0
49ers49ers,15,0,0
BearsBears,13,0,0
CardinalsCardinals,13,0,0
FalconsFalcons,12,0,0
BuccaneersBuccaneers,12,0,0
RamsRams,11,0,0
ColtsColts,10,0,0
VikingsVikings,9,0,0
ChargersChargers,9,0,0
ChiefsChiefs,8,0,0
GiantsGiants,8,0,0
PackersPackers,7,0,0
