Team,FF,FR,FR TD
EaglesEagles,28,18,0
LionsLions,25,16,3
TitansTitans,24,24,2
JaguarsJaguars,21,11,1
CardinalsCardinals,20,10,0
BroncosBroncos,19,11,1
BearsBears,18,19,1
VikingsVikings,18,18,0
SaintsSaints,18,15,2
RedskinsRedskins,18,13,1
JetsJets,17,11,1
BengalsBengals,16,15,0
ColtsColts,16,13,1
ChiefsChiefs,16,20,4
BuccaneersBuccaneers,16,9,0
RavensRavens,15,10,0
PanthersPanthers,15,14,0
PackersPackers,14,15,2
RamsRams,14,7,1
ChargersChargers,14,12,2
RaidersRaiders,13,13,1
PatriotsPatriots,13,15,2
GiantsGiants,13,7,1
SteelersSteelers,13,14,2
BillsBills,11,9,1
BrownsBrowns,11,12,0
DolphinsDolphins,11,10,1
SeahawksSeahawks,11,6,0
CowboysCowboys,10,9,1
FalconsFalcons,8,6,0
49ers49ers,7,7,3
