Team,INT,INT TD,INT Yds,Lng
PanthersPanthers,24,4,301,46
ChiefsChiefs,22,4,477,90
BengalsBengals,21,1,202,37
CardinalsCardinals,19,4,263,40
JetsJets,18,0,191,31
BillsBills,17,2,253,44
ColtsColts,17,4,196,69
SteelersSteelers,17,2,282,70
PackersPackers,16,2,198,45
FalconsFalcons,15,1,220,84
GiantsGiants,15,2,206,63
EaglesEagles,15,3,280,99
BroncosBroncos,14,4,321,74
TexansTexans,14,2,180,50
RaidersRaiders,14,1,73,27T
SeahawksSeahawks,14,0,205,54T
RamsRams,13,1,182,58
DolphinsDolphins,13,3,184,42
VikingsVikings,13,2,215,91
PatriotsPatriots,12,0,176,51T
BrownsBrowns,11,2,210,52
TitansTitans,11,1,164,45
ChargersChargers,11,1,152,68
BuccaneersBuccaneers,11,1,93,28T
RedskinsRedskins,11,1,181,44
LionsLions,9,1,103,31
JaguarsJaguars,9,1,120,48T
SaintsSaints,9,0,87,24T
NinersNiners,9,1,125,45
BearsBears,8,0,103,39T
CowboysCowboys,8,1,62,24
RavensRavens,6,1,51,25T
