Team,FR TD,SFTY,INT TD
ChiefsChiefs,4,0,5
LionsLions,3,1,1
49ers49ers,3,1,2
PackersPackers,2,1,1
TitansTitans,2,4,1
PatriotsPatriots,2,0,2
SaintsSaints,2,0,0
SteelersSteelers,2,0,0
ChargersChargers,2,1,0
BillsBills,1,0,0
BearsBears,1,0,1
CowboysCowboys,1,1,4
BroncosBroncos,1,2,1
ColtsColts,1,0,1
JaguarsJaguars,1,3,3
RamsRams,1,1,7
RaidersRaiders,1,0,1
DolphinsDolphins,1,1,1
GiantsGiants,1,0,2
JetsJets,1,1,3
RedskinsRedskins,1,0,3
FalconsFalcons,0,1,1
RavensRavens,0,1,4
PanthersPanthers,0,0,0
BengalsBengals,0,0,1
BrownsBrowns,0,0,0
VikingsVikings,0,1,1
EaglesEagles,0,2,5
CardinalsCardinals,0,0,3
SeahawksSeahawks,0,0,2
BuccaneersBuccaneers,0,1,2
