Team,Rsh TD,Rec TD,Tot TD,2-PT
CowboysCowboys,26,19,50,0
49ers49ers,23,37,65,0
BroncosBroncos,19,18,37,0
SeahawksSeahawks,16,13,32,3
ColtsColts,15,15,35,0
SteelersSteelers,15,17,34,0
BillsBills,14,23,37,0
EaglesEagles,14,18,35,0
DolphinsDolphins,13,31,45,3
ChargersChargers,13,20,40,2
BrownsBrowns,12,20,37,3
LionsLions,12,24,42,0
ChiefsChiefs,12,20,34,1
PatriotsPatriots,12,25,38,0
GiantsGiants,12,16,30,1
CardinalsCardinals,12,11,24,1
PackersPackers,11,33,47,0
VikingsVikings,11,18,34,1
SaintsSaints,11,22,36,0
BearsBears,10,19,30,0
OilersOilers,10,13,25,0
FalconsFalcons,8,25,35,0
JetsJets,8,18,29,0
BuccaneersBuccaneers,8,17,26,1
RaidersRaiders,7,22,32,1
RamsRams,6,23,31,2
BengalsBengals,5,21,27,2
RedskinsRedskins,5,25,35,1
