Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
JaguarsJaguars,429,1860,4.3,9,91,21.2
VikingsVikings,364,1337,3.7,10,59,16.2
PanthersPanthers,353,1409,4.0,7,69,19.6
BillsBills,466,1994,4.3,22,121,26.0
CowboysCowboys,403,1664,4.1,7,96,23.8
EaglesEagles,337,1267,3.8,7,62,18.4
RavensRavens,435,1780,4.1,12,87,20.0
BroncosBroncos,428,1430,3.3,9,68,15.9
RamsRams,417,1957,4.7,15,86,20.6
ColtsColts,488,1927,4.0,15,99,20.3
TexansTexans,440,1747,4.0,14,88,20.0
PatriotsPatriots,390,1836,4.7,6,98,25.1
SaintsSaints,406,1787,4.4,11,92,22.7
TitansTitans,398,1420,3.6,5,68,17.1
SteelersSteelers,385,1693,4.4,14,89,23.1
FalconsFalcons,402,1665,4.1,9,97,24.1
JetsJets,466,1887,4.0,13,88,18.9
BearsBears,432,1730,4.0,10,85,19.7
ChargersChargers,430,2098,4.9,11,99,23.0
CardinalsCardinals,406,1434,3.5,12,68,16.8
SeahawksSeahawks,452,1824,4.0,14,90,19.9
49ers49ers,491,1861,3.8,13,108,22.0
ChiefsChiefs,443,1890,4.3,15,112,25.3
RedskinsRedskins,472,2146,4.6,13,105,22.2
GiantsGiants,464,1933,4.2,10,101,21.8
BuccaneersBuccaneers,440,1880,4.3,17,102,23.2
PackersPackers,464,1793,3.9,10,95,20.5
BrownsBrowns,467,1566,3.4,14,95,20.3
BengalsBengals,489,2046,4.2,13,111,22.7
RaidersRaiders,433,1743,4.0,11,93,21.5
LionsLions,432,1800,4.2,18,110,25.5
DolphinsDolphins,431,1768,4.1,14,88,20.4
