Team,FF,FR,FR TD
ChiefsChiefs,23,12,1
BillsBills,21,11,0
TexansTexans,20,14,1
SaintsSaints,19,12,0
RedskinsRedskins,19,11,1
BearsBears,18,9,1
BrownsBrowns,18,14,0
SeahawksSeahawks,18,14,1
ColtsColts,15,11,0
CowboysCowboys,14,11,1
PatriotsPatriots,14,10,1
PanthersPanthers,13,9,1
BroncosBroncos,13,10,0
RamsRams,13,12,1
JetsJets,13,7,0
CardinalsCardinals,13,8,2
SteelersSteelers,13,7,1
TitansTitans,12,6,0
EaglesEagles,12,7,0
BuccaneersBuccaneers,12,8,1
DolphinsDolphins,11,7,0
GiantsGiants,11,5,0
49ers49ers,11,5,0
BengalsBengals,10,6,2
LionsLions,10,7,0
PackersPackers,10,8,0
RavensRavens,9,5,3
FalconsFalcons,8,4,1
VikingsVikings,8,8,2
JaguarsJaguars,7,6,0
ChargersChargers,7,7,1
RaidersRaiders,5,3,0
